CID,SMILES,pred_lum,pred_PLQY
57573217,CC(C)(C)c1ncn(-c2cccc(C(c3ccccc3)(c3ccccc3)c3cccc(-c4[c-]cc(F)cc4F)n3)n2)n1,558,76.4
57603953,CC(C)(C)c1ncn(-c2cccc(C(C)(C)c3cccc(-c4[c-]cc(F)cc4F)n3)n2)n1,558,76.3
170403628,CN=C(O)[C@@]1(C)COc2c1cc([C@@](O)(CN)c1ccccc1)nc2-c1[c-]c(Cl)c(F)cc1F,558,76.3
59645725,CC1(C)C=CC=C1c1cccc(C(C)(C)c2cccc(-c3[c-]cc(F)cc3F)n2)n1,538,76.2
170403562,C[C@]1(C(=N)O)COc2c1cc([C@@](O)(CN)c1ccc(F)cc1)nc2-c1[c-]c(Cl)c(F)cc1F,549,76.0
59341989,CC(C)(c1cccc(-c2[c-]cc(F)c(C(F)(C(F)(F)F)C(F)(F)F)c2F)n1)c1cccc(-c2ccc(F)c(C(F)(C(F)(F)F)C(F)(F)F)c2F)n1,531,76.0
24914576,CSc1ncc2c(n1)CCN(Cc1ccc(-c3[c-]cc(F)cc3F)nc1)C2,541,75.8
169264655,C=C(C1C=c2cc(C(O)=NC[C@](O)(c3cc(C(C)(C)O)c(F)c(-c4[c-]c(Cl)c(F)cc4F)n3)C3CC3)cc(OC)c2=N1)C1(F)CC1,582,75.8
58756133,CC(C)(C)c1ncn(-c2cccc(C(c3cccc(-c4[c-]cc(F)cc4F)n3)(c3cccc(-c4ccc(F)cc4F)n3)c3cccc(-n4cnc(C(C)(C)C)n4)n3)n2)n1,552,75.7
170368730,N=C(O)c1cc([C@@](O)(CN)c2ccccc2)nc(-c2[c-]c(Cl)c(F)cc2F)c1F,550,75.7
170403655,Cn1cc([C@](O)(CN)c2cc3c(c(-c4[c-]c(Cl)c(F)cc4F)n2)OC[C@]3(C)C(=N)O)cn1,552,75.6
68598776,COC(=O)c1nc(-c2[c-]cc(F)c(F)c2F)cc(N=C(C)O)c1Cl,584,75.6
169233929,COc1cc(C(O)=NC[C@@](O)(c2ccc(O)nc2)c2cc3c(c(-c4[c-]c(Cl)c(F)cc4F)n2)OC[C@]3(C)C(=N)O)cc(C=NC2CC2)c1N,562,75.5
