L1,L2,L3,L4,Counterion,Abbreviation_in_the_article,Charge,"λlum,nm",QY,"t, μs",solvent,"λabs,nm (most right)",eps,DOI,notes,примечания
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,CC(=O)/C=C(/C)[O-],,,Ir(df-ppy)2(acac),0,491,,,CH3CN,,,10.1039/c9sc01391a,the atmosphere of measurements is not stated ,the atmosphere of measurements is not stated 
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,CC1=CC(C2=NC=CC(C)=C2)=NC=C1,,F[P-](F)(F)(F)(F)F,[Ir(piq)2(dm-bpy)]+,1,631,,,CH3CN,,,10.1039/c9sc01391a,the atmosphere of measurements is not stated ,the atmosphere of measurements is not stated 
C1(C2=NC3=C(C=CC=C3)S2)=CC=CC=[C-]1,C1(C2=NC3=C(C=CC=C3)S2)=CC=CC=[C-]1,CC1=CC(C2=NC=CC(C)=C2)=NC=C1,,F[P-](F)(F)(F)(F)F,[Ir(bt)2(dm-bpy)]+,1,566,,,CH3CN,,,10.1039/c9sc01391a,the atmosphere of measurements is not stated ,the atmosphere of measurements is not stated 
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,CC1=CC(C2=NC=CC(C)=C2)=NC=C1,,F[P-](F)(F)(F)(F)F,[Ir(df-ppy)2(dm-bpy)]+,1,524,,,CH3CN,,,10.1039/c9sc01391a,the atmosphere of measurements is not stated ,the atmosphere of measurements is not stated 
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,C1(C2=CN(CC3=CC=CC=C3)N=N2)=NC=CC=C1,,F[P-](F)(F)(F)(F)F,[Ir(piq)2(ptb)]+,1,633,,,CH3CN,,,10.1039/c9sc01391a,the atmosphere of measurements is not stated ,the atmosphere of measurements is not stated 
C1(C2=NC3=C(C=CC=C3)S2)=CC=CC=[C-]1,C1(C2=NC3=C(C=CC=C3)S2)=CC=CC=[C-]1,C1(C2=CN(CC3=CC=CC=C3)N=N2)=NC=CC=C1,,F[P-](F)(F)(F)(F)F,[Ir(bt)2(ptb)]+,1,565,,,CH3CN,,,10.1039/c9sc01391a,the atmosphere of measurements is not stated ,the atmosphere of measurements is not stated 
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C1(C2=CN(CC3=CC=CC=C3)N=N2)=NC=CC=C1,,F[P-](F)(F)(F)(F)F,[Ir(ppy)2(ptb)]+,1,509,,,CH3CN,,,10.1039/c9sc01391a,the atmosphere of measurements is not stated ,the atmosphere of measurements is not stated 
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,C1(C2=CN(CC3=CC=CC=C3)N=N2)=NC=CC=C1,,F[P-](F)(F)(F)(F)F,[Ir(df-ppy)2(ptb)]+,1,482,,,CH3CN,,,10.1039/c9sc01391a,the atmosphere of measurements is not stated ,the atmosphere of measurements is not stated 
O=S(C1=CC(C2=[C-]C=CC3=C2C=CC=C3)=NC=C1S4(=O)=O)(C5=C4C=CC=C5)=O,C1(C2=[C-]C=C(OC3=CC=CC=C3)C=C2)=NC=CC=C1,CC(=O)/C=C(/C)[O-],,,SOIrOPh,0,652,"0,48","0,23",THF,,,10.1021/acsami.9b06749,,
O=S(C1=CC(C2=[C-]C=CC3=C2C=CC=C3)=NC=C1S4(=O)=O)(C5=C4C=CC=C5)=O,CC1=CC(C)=CC(C)=C1B(C2=C(C)C=C(C)C=C2C)C3=CC=[C-]C(C4=NC=CS4)=C3,CC(=O)/C=C(/C)[O-],,,SOIrB1,0,646,"0,45","0,19",THF,,,10.1021/acsami.9b06749,,
O=S(C1=CC(C2=[C-]C=CC3=C2C=CC=C3)=NC=C1S4(=O)=O)(C5=C4C=CC=C5)=O,CC(C=C(C)C=C1C)=C1B(C2=C(C)C=C(C)C=C2C)C3=CN=C(C4=[C-]C=CC=C4)C=C3,CC(=O)/C=C(/C)[O-],,,SOIrB2,0,660,"0,5","0,22",THF,,,10.1021/acsami.9b06749,,
O=S(C1=CC(C2=[C-]C=CC3=C2C=CC=C3)=NC=C1S4(=O)=O)(C5=C4C=CC=C5)=O,O=S(C1=CC(C2=[C-]C=CC3=C2C=CC=C3)=NC=C1S4(=O)=O)(C5=C4C=CC=C5)=O,CC(=O)/C=C(/C)[O-],,,SOIrSO,0,621,"0,56","0,22",THF,,,10.1021/acsami.9b06749,,
CCCCCCCCN1N=C(C2=N1)C(C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=C[C-]=C2C6=NC=CC7=C6C=CC=C7,CCCCCCCCN1N=C(C2=N1)C(C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=C[C-]=C2C6=NC=CC7=C6C=CC=C7,O=C([O-])c1ccccn1,,,(TPA-BTz-Iq)2Irpic,0,715,"0,002",,CH2Cl2,,,10.1016/j.dyepig.2019.03.047,,
CC(C)(C)C(C=C1)=CC=C1N(C2=CC=C(C(C)(C)C)C=C2)C(C=C3)=CC=C3C(C4=NN(CCCCCCCC)N=C45)=C[C-]=C5C6=NC=CC7=C6C=CC=C7,CC(C)(C)C(C=C1)=CC=C1N(C2=CC=C(C(C)(C)C)C=C2)C(C=C3)=CC=C3C(C4=NN(CCCCCCCC)N=C45)=C[C-]=C5C6=NC=CC7=C6C=CC=C7,O=C([O-])c1ccccn1,,,(tBuTPA-BTzIq)2Irpic,0,716,"0,005",,CH2Cl2,,,10.1016/j.dyepig.2019.03.047,,
FC(C=C1)=CC=C1N(C2=CC=C(F)C=C2)C(C=C3)=CC=C3C(C4=NN(CCCCCCCC)N=C45)=C[C-]=C5C6=NC=CC7=C6C=CC=C7,FC(C=C1)=CC=C1N(C2=CC=C(F)C=C2)C(C=C3)=CC=C3C(C4=NN(CCCCCCCC)N=C45)=C[C-]=C5C6=NC=CC7=C6C=CC=C7,O=C([O-])c1ccccn1,,,(FTPA-BTz-Iq)2Irpic,0,712,"0,003",,CH2Cl2,,,10.1016/j.dyepig.2019.03.047,,
