L1,L2,L3,L4,Counterion,Abbreviation_in_the_article,Charge,"λlum,nm",QY,"t, μs",solvent,"λabs,nm (most right)",eps,DOI,notes,примечания
CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,n1c5c(nc(c1c2cccs2)c3cccs3)c4cccnc4c6ncccc56,,F[P-](F)(F)(F)(F)F,[3],1,593,"0,037","0,407",CH2Cl2,404,31600,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,"aerated, rel to Ru(bpy)3, tau averaged"
CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,c3cc4c1nc(c(nc1c2cccnc2c4nc3)c5ccccc5)c6ccccc6,,F[P-](F)(F)(F)(F)F,[4],1,583,"0,65","0,379",CH2Cl2,368,28000,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,"aerated, rel to Ru(bpy)3, tau averaged"
CCCCCCCCCCn2c3ccccc3nc2c1[c-]cccc1,CCCCCCCCCCn2c3ccccc3nc2c1[c-]cccc1,n2c5c6cccnc6c1ncccc1c5nc(c2c3ccccn3)c4ccccn4,,F[P-](F)(F)(F)(F)F,[1],1,625,"0,19","0,248",DMSO,401,11000,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,"aerated, rel to Ru(bpy)3, tau averaged"
CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,n2c5c6cccnc6c1ncccc1c5nc(c2c3ccccn3)c4ccccn4,,F[P-](F)(F)(F)(F)F,[2],1,622,"0,21","0,245",DMSO,399,10600,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,"aerated, rel to Ru(bpy)3, tau averaged"
CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,n1c5c(nc(c1c2cccs2)c3cccs3)c4cccnc4c6ncccc56,,F[P-](F)(F)(F)(F)F,[3],1,622,"0,065","0,872",DMSO,408,32200,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,"aerated, rel to Ru(bpy)3, tau averaged"
CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,c3cc4c1nc(c(nc1c2cccnc2c4nc3)c5ccccc5)c6ccccc6,,F[P-](F)(F)(F)(F)F,[4],1,618,"0,37","0,254",DMSO,367,21200,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,"aerated, rel to Ru(bpy)3, tau averaged"
CCCCCCCCCCn2c3ccccc3nc2c1[c-]cccc1,CCCCCCCCCCn2c3ccccc3nc2c1[c-]cccc1,n2c5c6cccnc6c1ncccc1c5nc(c2c3ccccn3)c4ccccn4,,F[P-](F)(F)(F)(F)F,[1],1,611,"0,19","0,09",CH3OH,398,11200,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,"aerated, rel to Ru(bpy)3, tau averaged"
CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,n2c5c6cccnc6c1ncccc1c5nc(c2c3ccccn3)c4ccccn4,,F[P-](F)(F)(F)(F)F,[2],1,609,"0,064","0,082",CH3OH,405,9400,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,"aerated, rel to Ru(bpy)3, tau averaged"
CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,n1c5c(nc(c1c2cccs2)c3cccs3)c4cccnc4c6ncccc56,,F[P-](F)(F)(F)(F)F,[3],1,606,"0,019","0,242",CH3OH,404,32900,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,"aerated, rel to Ru(bpy)3, tau averaged"
CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,c3cc4c1nc(c(nc1c2cccnc2c4nc3)c5ccccc5)c6ccccc6,,F[P-](F)(F)(F)(F)F,[4],1,601,"0,18","0,112",CH3OH,364,31100,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,"aerated, rel to Ru(bpy)3, tau averaged"
CCCCCCCCCCn2c3ccccc3nc2c1[c-]cccc1,CCCCCCCCCCn2c3ccccc3nc2c1[c-]cccc1,n2c5c6cccnc6c1ncccc1c5nc(c2c3ccccn3)c4ccccn4,,F[P-](F)(F)(F)(F)F,[1],1,594,"0,082","0,282",H2O,405,10300,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,"aerated, rel to Ru(bpy)3, tau averaged"
CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,n2c5c6cccnc6c1ncccc1c5nc(c2c3ccccn3)c4ccccn4,,F[P-](F)(F)(F)(F)F,[2],1,600,"0,16","0,399",H2O,407,11900,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,"aerated, rel to Ru(bpy)3, tau averaged"
CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,n1c5c(nc(c1c2cccs2)c3cccs3)c4cccnc4c6ncccc56,,F[P-](F)(F)(F)(F)F,[3],1,615,"0,059","1,91",H2O,407,24800,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,"aerated, rel to Ru(bpy)3, tau averaged"
CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,CC(C)CCn2c3ccccc3nc2c1[c-]cccc1,c3cc4c1nc(c(nc1c2cccnc2c4nc3)c5ccccc5)c6ccccc6,,F[P-](F)(F)(F)(F)F,[4],1,604,"0,25","0,334",H2O,368,29300,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,"aerated, rel to Ru(bpy)3, tau averaged"
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,Cc3cc(C)cc(C)c3C(/c1ccc[n-]1)=C2\C=CC=N2,,,Ir(dipy)-1,0,675,"0,0013",,cyclohexane,"483,5",31000,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,"aerated, rel to LDS722, tau averaged"
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,ClCC(=O)Oc1ccc(cc1)C(/c2ccc[n-]2)=C3\C=CC=N3,,,Ir(dipy)-2,0,674,"0,001",,cyclohexane,483,37000,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,"aerated, rel to LDS722, tau averaged"
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,Cc3cc(C)cc(C)c3C(/c1ccc[n-]1)=C2\C=CC=N2,,,Ir(dipy)-1,0,675,"0,0019",,toluene,485,33000,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,"aerated, rel to LDS722, tau averaged"
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,ClCC(=O)Oc1ccc(cc1)C(/c2ccc[n-]2)=C3\C=CC=N3,,,Ir(dipy)-2,0,675,"0,0021",,toluene,"484,5",36000,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,"aerated, rel to LDS722, tau averaged"
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,C[N+](C)(C)CCOc1ccc(cc1)C(/c2ccc[n-]2)=C3\C=CC=N3,,[I-],Ir(dipy)-3,1,678,"0,0008",,toluene,"483,5",17000,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,"aerated, rel to LDS722, tau averaged"
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,Cc3cc(C)cc(C)c3C(/c1ccc[n-]1)=C2\C=CC=N2,,,Ir(dipy)-1,0,675,"0,0025","0,475",CHCl3,484,34000,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,"aerated, rel to LDS722, tau averaged"
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,ClCC(=O)Oc1ccc(cc1)C(/c2ccc[n-]2)=C3\C=CC=N3,,,Ir(dipy)-2,0,675,"0,0023","0,375",CHCl3,"482,5",38000,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,"aerated, rel to LDS722, tau averaged"
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,C[N+](C)(C)CCOc1ccc(cc1)C(/c2ccc[n-]2)=C3\C=CC=N3,,[I-],Ir(dipy)-3,1,676,"0,0025","0,376",CHCl3,483,28000,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,"aerated, rel to LDS722, tau averaged"
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,Cc3cc(C)cc(C)c3C(/c1ccc[n-]1)=C2\C=CC=N2,,,Ir(dipy)-1,0,678,"0,0015",,acetone,"481,5",30000,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,"aerated, rel to LDS722, tau averaged"
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,ClCC(=O)Oc1ccc(cc1)C(/c2ccc[n-]2)=C3\C=CC=N3,,,Ir(dipy)-2,0,669,"0,0011",,acetone,480,34000,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,"aerated, rel to LDS722, tau averaged"
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,C[N+](C)(C)CCOc1ccc(cc1)C(/c2ccc[n-]2)=C3\C=CC=N3,,[I-],Ir(dipy)-3,1,676,"0,0018",,acetone,"479,5",25000,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,"aerated, rel to LDS722, tau averaged"
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,Cc3cc(C)cc(C)c3C(/c1ccc[n-]1)=C2\C=CC=N2,,,Ir(dipy)-1,0,676,"0,0014","0,327",CH3CN,480,31000,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,"aerated, rel to LDS722, tau averaged"
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,ClCC(=O)Oc1ccc(cc1)C(/c2ccc[n-]2)=C3\C=CC=N3,,,Ir(dipy)-2,0,668,"0,0015","0,215",CH3CN,"478,5",33000,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,"aerated, rel to LDS722, tau averaged"
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,C[N+](C)(C)CCOc1ccc(cc1)C(/c2ccc[n-]2)=C3\C=CC=N3,,[I-],Ir(dipy)-3,1,673,"0,0013","0,286",CH3CN,479,26000,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,"aerated, rel to LDS722, tau averaged"
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,Cc3cc(C)cc(C)c3C(/c1ccc[n-]1)=C2\C=CC=N2,,,Ir(dipy)-1,0,675,"0,085","22,3",CHCl3,,,10.1016/j.dyepig.2021.109886,,"deaerated, rel to LDS722, tau averaged"
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,ClCC(=O)Oc1ccc(cc1)C(/c2ccc[n-]2)=C3\C=CC=N3,,,Ir(dipy)-2,0,675,"0,07","10,4",CHCl3,,,10.1016/j.dyepig.2021.109886,,"deaerated, rel to LDS722, tau averaged"
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,C[N+](C)(C)CCOc1ccc(cc1)C(/c2ccc[n-]2)=C3\C=CC=N3,,[I-],Ir(dipy)-3,1,676,"0,045","15,3",CHCl3,,,10.1016/j.dyepig.2021.109886,,"deaerated, rel to LDS722, tau averaged"
c1cccc2sc([c-]c12)c3ccccn3,c1cccc2sc([c-]c12)c3ccccn3,CN(C)CCNC(=O)CCC(\[O-])=C\C(C)=O,,,BTPDM1,0,612,"0,26","5,86",CH3CN,476,,10.1021/acssensors.1c02379,,"deaerated, abs PLQY"
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C1=N/C(C=C1)=C(/c2cccs2)c3[n-]ccc3,,,Ir1,0,713,,,toluene,495,53700,10.1039/D1DT04218A,,deaerated
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C1=N/C(C=C1)=C(/c2cccs2)c3[n-]ccc3,,,Ir1,0,717,,,DMSO,494,23000,10.1039/D1DT04218A,,deaerated
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCCCn3c1ccccc1c2cc(ccc23)C(\c4[n-]ccc4)=C5/C=CC=N5,,,Ir2,0,678,,,toluene,484,35000,10.1039/D1DT04218A,,deaerated
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCCCn3c1ccccc1c2cc(ccc23)C(\c4[n-]ccc4)=C5/C=CC=N5,,,Ir2,0,682,,,DMSO,483,35000,10.1039/D1DT04218A,,deaerated
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCCCn2c1ccccc1c3cc(ccc23)c4ccc(s4)C(=C5/N=CC=C5)/c6[n-]ccc6,,,Ir3,0,714,,,toluene,496,72400,10.1039/D1DT04218A,,deaerated
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCCCn2c1ccccc1c3cc(ccc23)c4ccc(s4)C(=C5/N=CC=C5)/c6[n-]ccc6,,,Ir3,0,725,,,DMSO,495,37000,10.1039/D1DT04218A,,deaerated
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(c2nsnc12)c3ccc(s3)C(\c4[n-]ccc4)=C5/C=CC=N5,,,Ir4,0,722,,,toluene,498,61700,10.1039/D1DT04218A,,deaerated
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(c2nsnc12)c3ccc(s3)C(\c4[n-]ccc4)=C5/C=CC=N5,,,Ir4,0,725,,,DMSO,497,23000,10.1039/D1DT04218A,,deaerated
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Fc3c(F)c(F)c(F)c(F)c3C(/c1ccc[n-]1)=C2\C=CC=N2,,,Ir5,0,737,,,toluene,494,72400,10.1039/D1DT04218A,,deaerated
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Fc3c(F)c(F)c(F)c(F)c3C(/c1ccc[n-]1)=C2\C=CC=N2,,,Ir5,0,740,,,DMSO,492,30000,10.1039/D1DT04218A,,deaerated
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(=O)OCC4OC(Sc3c(F)c(F)c(C(\c1[n-]ccc1)=C2/C=CC=N2)c(F)c3F)C(OC(C)=O)C(OC(C)=O)C4OC(C)=O,,,Ir7,0,747,,,toluene,494,56300,10.1039/D1DT04218A,,deaerated
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(=O)OCC4OC(Sc3c(F)c(F)c(C(\c1[n-]ccc1)=C2/C=CC=N2)c(F)c3F)C(OC(C)=O)C(OC(C)=O)C4OC(C)=O,,,Ir7,0,753,,,DMSO,492,33000,10.1039/D1DT04218A,,deaerated
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC=1C(\N=C(C)C=1I)=C(/c2c(F)c(F)c(F)c(F)c2F)c3[n-]c(C)c(I)c3C,,,Ir8,0,827,,,toluene,536,107000,10.1039/D1DT04218A,,deaerated
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC=1C(\N=C(C)C=1I)=C(/c2c(F)c(F)c(F)c(F)c2F)c3[n-]c(C)c(I)c3C,,,Ir8,0,823,,,DMSO,535,49000,10.1039/D1DT04218A,,deaerated
[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,NCCN,,[Cl-],1,1,526,"0,0006",,CH2Cl2,612,960,10.1002/anie.202116078,measured in air-saturated solution,"aerated, rel to Ru(bpy)3 0,04"
[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,,[Cl-],2,1,534,"0,0006",,CH2Cl2,592,875,10.1002/anie.202116078,measured in air-saturated solution,"aerated, rel to Ru(bpy)3 0,04"
[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,,[Cl-],3,1,595,"0,0004",,CH2Cl2,585,1770,10.1002/anie.202116078,measured in air-saturated solution,"aerated, rel to Ru(bpy)3 0,04"
[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,NCCN,,[Cl-],1,1,532,"0,0009",,CH3OH,,,10.1002/anie.202116078,measured in air-saturated solution,"aerated, rel to Ru(bpy)3 0,04"
[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,,[Cl-],2,1,544,"0,0004",,CH3OH,,,10.1002/anie.202116078,measured in air-saturated solution,"aerated, rel to Ru(bpy)3 0,04"
[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,,[Cl-],3,1,598,"0,0001",,CH3OH,,,10.1002/anie.202116078,measured in air-saturated solution,"aerated, rel to Ru(bpy)3 0,04"
[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,NCCN,,[Cl-],1,1,534,"0,0004",,H2O,,,10.1002/anie.202116078,measured in air-saturated solution,"aerated, rel to Ru(bpy)3 0,04; buffer K3PO4 H2O/CH3OH 70/30"
[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,,[Cl-],2,1,551,"0,0006",,H2O,,,10.1002/anie.202116078,measured in air-saturated solution,"aerated, rel to Ru(bpy)3 0,04; buffer K3PO4 H2O/CH3OH 70/30"
[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,,[Cl-],3,1,600,"0,0004",,H2O,,,10.1002/anie.202116078,measured in air-saturated solution,"aerated, rel to Ru(bpy)3 0,04; buffer K3PO4 H2O/CH3OH 70/30"
c1ccc([c-]c1)n2cccn2,c1ccc([c-]c1)n2cccn2,[O-]C(=O)c2cccnc2c1ncccc1C([O-])=O,,[K+],Ir-p,-1,582,"0,037",,C2H5OH,,,10.1007/s43630-022-00200-8,measured in air-saturated solution,"aerated, rel to rhodamine 6G 0,94"
c1ccc([c-]c1)n2cccn2,c1ccc([c-]c1)n2cccn2,[O-]C(=O)c1cc(nc2ccccc12)c3cc(c4ccccc4n3)C([O-])=O,,[K+],Ir-q,-1,624,"0,26",,C2H5OH,,,10.1007/s43630-022-00200-8,measured in air-saturated solution,"aerated, rel to rhodamine 6G 0,94"
Cc1c[c-]c(-c2ccccn2)cc1,Cc1c[c-]c(-c2ccccn2)cc1,Clc1ccc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc1,,F[P-](F)(F)(F)(F)F,1,1,620,"0,07","0,14",CH2Cl2,500,720,10.1002/zaac.202200047,,"deaerated, abs PLQY, aer PLQY 0,06, 0,115 mks"
Cc1c[c-]c(-c2ccccn2)cc1,Cc1c[c-]c(-c2ccccn2)cc1,Clc1cc(-c2ccccn2)nc(-c2ccccn2)c1,,F[P-](F)(F)(F)(F)F,2,1,630,"0,03","0,145",CH2Cl2,500,670,10.1002/zaac.202200047,,"deaerated, abs PLQY, aer PLQY 0,025, 0,110 mks"
CC1=CC(C2=[C-]C=CC=C2)=NC=C1,CC1=CC(C2=[C-]C=CC=C2)=NC=C1,O=C([O-])C1=C(OCCCCCC)C=CC=N1,,,IrG0,0,589,"0,05",,CH2Cl2,443,,10.1039/D1NJ00351H,lifetime measured in film,t only in films
CC1=CC(C2=[C-]C=CC=C2)=NC=C1,CC1=CC(C2=[C-]C=CC=C2)=NC=C1,O=C([O-])C1=C(OCCCCCCN2C(C=CC(C(C)(C)C)=C3)=C3C4=C2C=CC(C(C)(C)C)=C4)C=CC=N1,,,IrG1,0,588,"0,1",,CH2Cl2,448,,10.1039/D1NJ00351H,lifetime measured in film,t only in films
CC1=CC(C2=[C-]C=CC=C2)=NC=C1,CC1=CC(C2=[C-]C=CC=C2)=NC=C1,O=C([O-])C1=C(OCCCCCCN2C(C=CC(N3C(C=CC(C(C)(C)C)=C4)=C4C5=C3C=CC(C(C)(C)C)=C5)=C6)=C6C7=C2C=CC(N8C(C=CC(C(C)(C)C)=C9)=C9C%10=C8C=CC(C(C)(C)C)=C%10)=C7)C=CC=N1,,,IrG2,0,586,"0,15",,CH2Cl2,447,,10.1039/D1NJ00351H,lifetime measured in film,t only in films
CC1=CC(C2=[C-]C=CC=C2)=NC=C1,CC1=CC(C2=[C-]C=CC=C2)=NC=C1,O=C([O-])C1=C(OCCCCCCN2C(C=CC(N3C(C=CC(N4C(C=CC(C(C)(C)C)=C5)=C5C6=C4C=CC(C(C)(C)C)=C6)=C7)=C7C8=C3C=CC(N9C(C=CC(C(C)(C)C)=C%10)=C%10C%11=C9C=CC(C(C)(C)C)=C%11)=C8)=C%12)=C%12C%13=C2C=CC(N%14C(C=CC(N%15C(C=CC(C(C)(C)C)=C%16)=C%16C%17=C%15C=CC(C(C)(C)C)=C%17)=C%18)=C%18C%19=C%14C=CC(N%20C(C=CC(C(C)(C)C)=C%21)=C%21C%22=C%20C=CC(C(C)(C)C)=C%22)=C%19)=C%13)C=CC=N1,,,IrG3,0,587,"0,17",,CH2Cl2,446,,10.1039/D1NJ00351H,lifetime measured in film,t only in films
C1C=CC=CC=1N1C2C(C3N=CC=CC=3)=[C-]C=CC=2C2C1=CC=CC=2,C1C=CC=CC=1N1C2C(C3N=CC=CC=3)=[C-]C=CC=2C2C1=CC=CC=2,C(C)(C)(C)/C(/[O-])=C/C(=O)C(C)(C)C,,,Ir1,,559,"0,57","2,18",CH2Cl2,448,,10.1002/adom.202001390,,
FC(C1C=C(N=CC=1)C1C2=C(C=C[C-]=1)C1C(N2C2C=CC=CC=2)=CC=CC=1)(F)F,FC(C1C=C(N=CC=1)C1C2=C(C=C[C-]=1)C1C(N2C2C=CC=CC=2)=CC=CC=1)(F)F,C(C)(C)(C)/C(/[O-])=C/C(=O)C(C)(C)C,,,Ir2,,600,"0,72","5,36",CH2Cl2,470,,10.1002/adom.202001390,,
C[Si](C1C=C(N=CC=1)C1C2=C(C=C[C-]=1)C1C(N2C2C=CC=CC=2)=CC=CC=1)(C)C,C[Si](C1C=C(N=CC=1)C1C2=C(C=C[C-]=1)C1C(N2C2C=CC=CC=2)=CC=CC=1)(C)C,C(C)(C)(C)/C(/[O-])=C/C(=O)C(C)(C)C,,,Ir3,,564,"0,59","4,75",CH2Cl2,455,,10.1002/adom.202001390,,
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2[nH]c(-c3ccnc(-c4cc(-c5nc6ccccc6[nH]5)ccn4)c3)nc2c1,,F[P-](F)(F)(F)(F)F,Ir1,,654,"0,1439","0,105",CH3CN,,,10.1007/s00775-020-01783-2,,
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2[nH]c(-c3ccnc(-c4cc(-c5nc6ccccc6[nH]5)ccn4)c3)nc2c1,,F[P-](F)(F)(F)(F)F,Ir1,,631,"0,3894","0,302",CH2Cl2,,,10.1007/s00775-020-01783-2,,
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2[nH]c(-c3ccnc(-c4cc(-c5nc6ccccc6[nH]5)ccn4)c3)nc2c1,,F[P-](F)(F)(F)(F)F,Ir2,,643,"0,1431","0,178",CH3CN,,,10.1007/s00775-020-01783-2,,
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2[nH]c(-c3ccnc(-c4cc(-c5nc6ccccc6[nH]5)ccn4)c3)nc2c1,,F[P-](F)(F)(F)(F)F,Ir2,,617,"0,3383","0,596",CH2Cl2,,,10.1007/s00775-020-01783-2,,
[c-]1ccsc1-c1ccccn1,[c-]1ccsc1-c1ccccn1,c1ccc2[nH]c(-c3ccnc(-c4cc(-c5nc6ccccc6[nH]5)ccn4)c3)nc2c1,,F[P-](F)(F)(F)(F)F,Ir3,,703,"0,0254","0,045",CH3CN,,,10.1007/s00775-020-01783-2,,
[c-]1ccsc1-c1ccccn1,[c-]1ccsc1-c1ccccn1,c1ccc2[nH]c(-c3ccnc(-c4cc(-c5nc6ccccc6[nH]5)ccn4)c3)nc2c1,,F[P-](F)(F)(F)(F)F,Ir3,,663,"0,094","0,241",CH2Cl2,,,10.1007/s00775-020-01783-2,,
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,[S-]P(C1=NC=CC=C1)(C2=NC=CC=C2)=O,,,Ir(dfppy)2(sdpp),0,466,"0,312","0,4",CH2Cl2,,,10.1039/D1TC00832C,,
C(C1=NC2=CC=C(C(F)(F)F)C=C2C=C1)1=CC=CC=[C-]1,C(C1=NC2=CC=C(C(F)(F)F)C=C2C=C1)1=CC=CC=[C-]1,CC(=O)/C=C(/C)[O-],,,Ir-1,,627,"0,0086","0,79",CH2Cl2,446,,10.1016/j.dyepig.2020.108405,,
C(C1=NC2=CC=C(C(F)(F)F)C=C2C=C1)1=CC=CC=[C-]1,C(C1=NC2=CC=C(C(F)(F)F)C=C2C=C1)1=CC=CC=[C-]1,C(C)(C)(C)/C(/[O-])=C/C(=O)C(C)(C)C,,,Ir-2,,632,"0,0065","0,81",CH2Cl2,462,,10.1016/j.dyepig.2020.108405,,
C(C1=NC2=CC=C(F)C=C2C=C1)1=CC=CC=[C-]1,C(C1=NC2=CC=C(F)C=C2C=C1)1=CC=CC=[C-]1,CC(=O)/C=C(/C)[O-],,,Ir-3,,609,"0,008","0,77",CH2Cl2,461,,10.1016/j.dyepig.2020.108405,,
C(C1=NC2=CC=C(F)C=C2C=C1)1=CC=CC=[C-]1,C(C1=NC2=CC=C(F)C=C2C=C1)1=CC=CC=[C-]1,C(C)(C)(C)/C(/[O-])=C/C(=O)C(C)(C)C,,,Ir-4,,613,"0,0055","0,78",CH2Cl2,451,,10.1016/j.dyepig.2020.108405,,
C1(C2=CC=CC=C2)=NN=C(C3=[C-]C=CC=C3)O1,C1(C2=CC=CC=C2)=NN=C(C3=[C-]C=CC=C3)O1,C1(C=CC=C2)=C2N=C(C3=NC=CC=C3)N1C4=CC=CC=C4,,F[P-](F)(F)(F)(F)F,IRC-1,1,518,"0,00145","0,725",CH2Cl2,380,,10.1039/D1NJ00114K,,strange QY
