L1,L2,L3,Counterion,Abbreviation_in_the_article,Charge,Max_wavelength(nm),PLQY,tau(s*10^-6),Solvent,DOI,Notes,PLQY_in_train
Cc1cc(-c2[c-]cc(Cl)c(C(F)(F)F)c2)nc2ccccc12,Cc1cc(-c2[c-]cc(Cl)c(C(F)(F)F)c2)nc2ccccc12,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,FC(C1=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=CC(C(F)(F)F)=C1)(F)F,Ir2,1,538,0.91,1.98,CH2Cl2,10.1002/adpr.202100115,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(P(c2ccccc2)c2ccccc2Oc2ccccc2P(c2ccccc2)c2ccccc2)cc1,F[P-](F)(F)(F)(F)F,Ir(ppy)2(BPE),1,525,0.43,0.57,CH2Cl2,10.3390/ma14185419,,1
[c-]1ccccc1-c1nnc(-c2ccccc2)n1-c1ccccc1,[c-]1ccccc1-c1nnc(-c2ccccc2)n1-c1ccccc1,c1ccc(-n2cccn2)nc1,F[P-](F)(F)(F)(F)F,1,1,486,0.02,0.2,CH3CN,10.1016/j.dyepig.2021.109477,,1
[c-]1ccccc1-c1nnc(-c2ccccc2)n1-c1ccccc1,[c-]1ccccc1-c1nnc(-c2ccccc2)n1-c1ccccc1,CN(C)c1ccnc(-n2cccn2)c1,F[P-](F)(F)(F)(F)F,2,1,489,0.13,1.19,CH3CN,10.1016/j.dyepig.2021.109477,,1
[c-]1ccccc1-c1nnc(-c2ccccc2)n1-c1ccccc1,[c-]1ccccc1-c1nnc(-c2ccccc2)n1-c1ccccc1,Cn1[c-][n+](C[n+]2[c-]n(C)cc2)cc1,F[P-](F)(F)(F)(F)F,3,1,486,0.37,5.5,CH3CN,10.1016/j.dyepig.2021.109477,,1
Fc1c[c-]c(-c2nccc3ccccc23)c(F)c1,Fc1c[c-]c(-c2nccc3ccccc23)c(F)c1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,3,0,622,0.52,2.0,CH2Cl2,10.1002/chem.202102006,,1
Fc1[c-]c(-c2nccc3ccccc23)cc(F)c1,Fc1[c-]c(-c2nccc3ccccc23)cc(F)c1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,4,0,616,0.51,5.0,CH2Cl2,10.1002/chem.202102006,,1
Fc1c[c-]c(-c2nccc3ccccc23)c(F)c1-c1ccc(C(F)(F)F)cc1,Fc1c[c-]c(-c2nccc3ccccc23)c(F)c1-c1ccc(C(F)(F)F)cc1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,5a,0,632,0.33,1.9,CH2Cl2,10.1002/chem.202102006,,1
N#Cc1ccc(-c2c(F)c[c-]c(-c3nccc4ccccc34)c2F)cc1,N#Cc1ccc(-c2c(F)c[c-]c(-c3nccc4ccccc34)c2F)cc1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,6,0,627,0.39,2.0,CH2Cl2,10.1002/chem.202102006,,1
O=C(c1ccccc1)c1ccc(-c2c(F)c[c-]c(-c3nccc4ccccc34)c2F)cc1,O=C(c1ccccc1)c1ccc(-c2c(F)c[c-]c(-c3nccc4ccccc34)c2F)cc1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,7,0,622,0.34,1.9,CH2Cl2,10.1002/chem.202102006,,1
COC(=O)c1ccc(-c2c(F)c[c-]c(-c3nccc4ccccc34)c2F)cc1,COC(=O)c1ccc(-c2c(F)c[c-]c(-c3nccc4ccccc34)c2F)cc1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,8,0,627,0.41,2.0,CH2Cl2,10.1002/chem.202102006,,1
N#Cc1c[c-]c(-c2ncc(C#N)c3ccccc23)cc1,N#Cc1c[c-]c(-c2ncc(C#N)c3ccccc23)cc1,CC(=O)/C=C(/C)[O-],,CN-CNIr,0,688,0.08,0.24,THF,10.1016/j.isci.2021.102911,QY and lifetime measured in CH2Cl2,0
CC(C)(C)c1c[c-]c(-c2ncc(C#N)c3ccccc23)cc1,CC(C)(C)c1c[c-]c(-c2ncc(C#N)c3ccccc23)cc1,CC(=O)/C=C(/C)[O-],,Bu-CNIr,0,700,0.15,0.28,THF,10.1016/j.isci.2021.102911,QY and lifetime measured in CH2Cl2,0
Cc1[c-]c(-c2ncc(C#N)c3ccccc23)cc(C)c1,Cc1[c-]c(-c2ncc(C#N)c3ccccc23)cc(C)c1,CC(=O)/C=C(/C)[O-],,DM-CNIr,0,709,0.08,0.29,THF,10.1016/j.isci.2021.102911,QY and lifetime measured in CH2Cl2,0
[c-]1c(-c2ccccn2)cc2c3ccccc3n3c4ncccc4c1c23,[c-]1c(-c2ccccn2)cc2c3ccccc3n3c4ncccc4c1c23,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,Ir1,0,500,0.8,0.25,CH2Cl2,10.1039/d1qm00708d,,1
[c-]1c(-c2ccccn2)cc2c3ccccc3n3c4ncccc4c1c23,[c-]1c(-c2ccccn2)cc2c3cccnc3n3c4ccccc4c1c23,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,Ir2,0,498,0.78,0.24,CH2Cl2,10.1039/d1qm00708d,,1
FC(F)(F)c1ccnc(-c2[c-]c3c4cccnc4n4c5ccccc5c(c2)c34)c1,FC(F)(F)c1ccnc(-c2[c-]c3c4cccnc4n4c5ccccc5c(c2)c34)c1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,Ir3,0,551,0.89,0.48,CH2Cl2,10.1039/d1qm00708d,,1
FC(F)(F)c1ccnc(-c2[c-]c3c4cccnc4n4c5ccccc5c(c2)c34)c1,FC(F)(F)c1ccnc(-c2[c-]c3c4ccccc4n4c5ncccc5c(c2)c34)c1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,Ir4,0,548,0.85,0.44,CH2Cl2,10.1039/d1qm00708d,,1
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,C1=C/C(=C(\c2ccccc2)c2ccc[n-]2)N=C1,,Ir1,0,679,0.02,12.96,CH2Cl2,10.1039/D1DT01557E,lifetime measured in film,1
