L1,L2,L3,Counterion,Abbreviation_in_the_article,Charge,Max_wavelength(nm),PLQY,tau(s*10^-6),Solvent,DOI,Notes,PLQY_in_train
O=P1(c2ccccc2)c2[c-]c(-c3ccccn3)sc2-c2sccc21,[c-]1cc(N(c2ccccc2)c2ccccc2)ccc1-c1ccccn1,CC(=O)/C=C(/C)[O-],,P-Ir-T,0,517,0.06,0.00702,CH2Cl2,10.1039/d0dt00102c,The emission is claimed to be fluorescence,1
O=P1(c2ccccc2)c2[c-]c(-c3ccccn3)sc2-c2sccc21,[c-]1cc(-n2c3ccccc3c3ccccc32)ccc1-c1ccccn1,CC(=O)/C=C(/C)[O-],,P-Ir-C,0,523,0.09,0.00516,CH2Cl2,10.1039/d0dt00102c,The emission is claimed to be fluorescence,1
CCCCCCCCc1[c-]c2c(cc1)c1ccc(CCCCCCCC)cc1c1nc3ccccc3nc21,CCCCCCCCc1[c-]c2c(cc1)c1ccc(CCCCCCCC)cc1c1nc3ccccc3nc21,CC(=O)/C=C(/C)[O-],,Ir-R,0,732,0.28,0.98,CH2Cl2,10.1039/D0TC00479K,,1
CCCCCCCCOc1[c-]c2c(cc1)c1ccc(OCCCCCCCC)cc1c1nc3ccccc3nc21,CCCCCCCCOc1[c-]c2c(cc1)c1ccc(OCCCCCCCC)cc1c1nc3ccccc3nc21,CC(=O)/C=C(/C)[O-],,Ir-OR,0,775,0.08,0.54,CH2Cl2,10.1039/D0TC00479K,,1
Cc1nc2cc(F)c(F)cc2nc1-c1[c-]cccc1,Cc1nc2cc(F)c(F)cc2nc1-c1[c-]cccc1,Oc1ccccc1-c1nc2c3cccnc3c3ncccc3c2[nH]1,F[P-](F)(F)(F)(F)F,1,1,650,0.24,0.356,DMF,10.1016/j.saa.2022.121658,"QY, and lifetime measured in CH3CN",0
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,CCOC(=O)c1ccnc(-c2cc(C(=O)OCC)ccn2)c1,[Cl-],1,1,682,0.0072,0.065,CH3CN,10.1021/acsami.0c11161,,1
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,O=C(OCCOCCOCCOCCO)c1ccnc(-c2cc(C(=O)OCCOCCOCCOCCO)ccn2)c1,[Cl-],2,1,680,0.0091,0.06,CH3CN,10.1021/acsami.0c11161,,1
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,O=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)c1ccnc(-c2cc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCO)ccn2)c1,[Cl-],3,1,696,0.0084,0.066,CH3CN,10.1021/acsami.0c11161,,1
Cc1ccnc(-c2[c-]c(C(F)(F)F)cc(C(F)(F)F)c2)c1,Cc1ccnc(-c2[c-]c(C(F)(F)F)cc(C(F)(F)F)c2)c1,c1ccc(-c2ncc[n-]2)nc1,,Ir-CF3,0,465,0.22,0.7,CH2Cl2,10.1016/j.tetlet.2021.153181,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(=C/c1nc2c3cccnc3c3ncccc3c2[nH]1)\c1ccccc1,F[P-](F)(F)(F)(F)F,Ir1,1,572,0.12,0.875,CH3OH,10.1021/acs.inorgchem.0c01509,measured in air-saturated solution,0
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=[N+]([O-])c1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,F[P-](F)(F)(F)(F)F,Ir2,1,590,0.04,0.836,CH3OH,10.1021/acs.inorgchem.0c01509,measured in air-saturated solution,0
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,F[P-](F)(F)(F)(F)F,Ir3,1,572,0.18,0.942,CH3OH,10.1021/acs.inorgchem.0c01509,measured in air-saturated solution,0
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CN(C)c1ccc(/C=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,F[P-](F)(F)(F)(F)F,Ir4,1,577,0.03,0.851,CH3OH,10.1021/acs.inorgchem.0c01509,measured in air-saturated solution,0
Fc1c[c-]c(-c2ccccn2)c(F)n1,Fc1c[c-]c(-c2ccccn2)c(F)n1,c1ccc(-n2cccn2)nc1,F[P-](F)(F)(F)(F)F,Ir1,1,439,0.35,2.05,CH2Cl2,10.1016/j.jlumin.2020.117880,,1
Fc1c[c-]c(-c2ccccn2)c(F)n1,Fc1c[c-]c(-c2ccccn2)c(F)n1,Cc1cc(C)n(-c2ccccn2)n1,F[P-](F)(F)(F)(F)F,Ir2,1,438,0.27,2.08,CH2Cl2,10.1016/j.jlumin.2020.117880,,1
Fc1c[c-]c(-c2ccccn2)c(F)n1,Fc1c[c-]c(-c2ccccn2)c(F)n1,c1cnn(Cn2cccn2)c1,F[P-](F)(F)(F)(F)F,Ir3,1,437,0.5,2.29,CH2Cl2,10.1016/j.jlumin.2020.117880,,1
FC(F)(F)c1c[c-]c(-c2ncnc3ccccc23)cc1,FC(F)(F)c1c[c-]c(-c2ncnc3ccccc23)cc1,CC1(C)c2ccccc2N(C(=S)[S-])c2ccccc21,,Ir-1,0,622,0.354,0.45,CH2Cl2,10.3390/molecules26092599,,1
FC(F)(F)c1c[c-]c(-c2ncnc3ccccc23)cc1,FC(F)(F)c1c[c-]c(-c2ncnc3ccccc23)cc1,S=C([S-])N1c2ccccc2Oc2ccccc21,,Ir-2,0,619,0.504,0.46,CH2Cl2,10.3390/molecules26092599,,1
FC(F)(F)c1c[c-]c(-c2ncnc3ccccc23)cc1,FC(F)(F)c1c[c-]c(-c2ncnc3ccccc23)cc1,S=C([S-])N1c2ccccc2Sc2ccccc21,,Ir-3,0,622,0.528,0.59,CH2Cl2,10.3390/molecules26092599,,1
[c-]1ccccc1-c1nc2ccccc2nc1-c1ccccc1,[c-]1ccccc1-c1nc2ccccc2nc1-c1ccccc1,CCCCCCCCCc1ccnc(-c2cc(CCCCCCCCC)ccn2)c1,F[P-](F)(F)(F)(F)F,Ir1,1,636,0.176,0.817,CH2Cl2,10.1039/D1RA01740C,measured in air-saturated solution,0
[c-]1ccccc1-c1nc2cc3ccccc3cc2nc1-c1ccccc1,[c-]1ccccc1-c1nc2cc3ccccc3cc2nc1-c1ccccc1,CCCCCCCCCc1ccnc(-c2cc(CCCCCCCCC)ccn2)c1,F[P-](F)(F)(F)(F)F,Ir2,1,778,,,CH2Cl2,10.1039/D1RA01740C,measured in air-saturated solution,0
[c-]1cccc2c1c1nc3ccccc3nc1c1ccccc21,[c-]1cccc2c1c1nc3ccccc3nc1c1ccccc21,CCCCCCCCCc1ccnc(-c2cc(CCCCCCCCC)ccn2)c1,F[P-](F)(F)(F)(F)F,Ir3,1,650,0.182,0.737,CH2Cl2,10.1039/D1RA01740C,measured in air-saturated solution,0
[c-]1c(-c2ccc3ccccc3n2)sc2ccccc12,[c-]1c(-c2ccc3ccccc3n2)sc2ccccc12,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,NIR-Ir-bpy,1,651,0.018,0.408,C2H5OH,10.1039/D1BM00128K,measured in air-saturated solution,0
[c-]1c(-c2ccc3ccccc3n2)sc2ccccc12,[c-]1c(-c2ccc3ccccc3n2)sc2ccccc12,CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)/C(=C/c1ccnc(-c2cc(C)ccn2)c1)CCC3,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,NIR-Ir-XE,2,652,0.03,0.603,C2H5OH,10.1039/D1BM00128K,measured in air-saturated solution,0
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,Cc1ccnc(-c2cc(-c3nnc(-c4ccccc4)nn3)ccn2)c1,F[P-](F)(F)(F)(F)F,1,1,551,0.0142,1.03,CH2Cl2,10.1039/D1CC00545F,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(-c3nnc(-c4ccccc4)nn3)ccn2)c1,F[P-](F)(F)(F)(F)F,2,1,594,0.0044,0.41,CH2Cl2,10.1039/D1CC00545F,,1
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,Cc1ccnc(-c2cc(-c3nnc(-c4ccccc4)nn3)ccn2)c1,F[P-](F)(F)(F)(F)F,3,1,558,0.0111,1.16,CH2Cl2,10.1039/D1CC00545F,,1
CCOC(=O)c1cc(-c2[c-]cccc2)nc2ccccc12,CCOC(=O)c1cc(-c2[c-]cccc2)nc2ccccc12,Cc1ccnc(-c2cc(-c3nnc(-c4ccccc4)nn3)ccn2)c1,F[P-](F)(F)(F)(F)F,4,1,619,0.0202,1.33,CH2Cl2,10.1039/D1CC00545F,,1
CC(C)(C)c1cc(-c2[c-]cccc2)ncn1,CC(C)(C)c1cc(-c2[c-]cccc2)ncn1,CC(=O)/C=C(/C)[O-],,(bpp)2Ir(acac),0,540,0.94,1.6,CH2Cl2,10.1088/1742-6596/2174/1/012021,,1
CCCCCCCCCCn1c(-c2[c-]cccc2)nc2ccccc21,CCCCCCCCCCn1c(-c2[c-]cccc2)nc2ccccc21,c1ccc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[1],1,612,0.057,0.095,CH3CN,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,0
CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,c1ccc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[2],1,615,0.074,0.097,CH3CN,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,0
CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,c1csc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2cccs2)c1,F[P-](F)(F)(F)(F)F,[3],1,608,0.014,0.24,CH3CN,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,0
CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,c1ccc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2ccccc2)cc1,F[P-](F)(F)(F)(F)F,[4],1,606,0.12,0.093,CH3CN,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,0
CCCCCCCCCCn1c(-c2[c-]cccc2)nc2ccccc21,CCCCCCCCCCn1c(-c2[c-]cccc2)nc2ccccc21,c1ccc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[1],1,588,0.25,0.29,CH2Cl2,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,0
CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,c1ccc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[2],1,595,0.1,0.272,CH2Cl2,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,0
CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,c1csc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2cccs2)c1,F[P-](F)(F)(F)(F)F,[3],1,593,0.037,0.407,CH2Cl2,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,0
CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,c1ccc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2ccccc2)cc1,F[P-](F)(F)(F)(F)F,[4],1,583,0.65,0.379,CH2Cl2,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,0
CCCCCCCCCCn1c(-c2[c-]cccc2)nc2ccccc21,CCCCCCCCCCn1c(-c2[c-]cccc2)nc2ccccc21,c1ccc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[1],1,625,0.19,0.248,DMSO,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,0
CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,c1ccc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[2],1,622,0.21,0.245,DMSO,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,0
CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,c1csc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2cccs2)c1,F[P-](F)(F)(F)(F)F,[3],1,622,0.065,0.872,DMSO,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,0
CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,c1ccc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2ccccc2)cc1,F[P-](F)(F)(F)(F)F,[4],1,618,0.37,0.254,DMSO,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,0
CCCCCCCCCCn1c(-c2[c-]cccc2)nc2ccccc21,CCCCCCCCCCn1c(-c2[c-]cccc2)nc2ccccc21,c1ccc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[1],1,611,0.19,0.09,CH3OH,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,0
CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,c1ccc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[2],1,609,0.064,0.082,CH3OH,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,0
CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,c1csc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2cccs2)c1,F[P-](F)(F)(F)(F)F,[3],1,606,0.019,0.242,CH3OH,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,0
CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,c1ccc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2ccccc2)cc1,F[P-](F)(F)(F)(F)F,[4],1,601,0.18,0.112,CH3OH,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,0
CCCCCCCCCCn1c(-c2[c-]cccc2)nc2ccccc21,CCCCCCCCCCn1c(-c2[c-]cccc2)nc2ccccc21,c1ccc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[1],1,594,0.082,0.282,H2O,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,0
CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,c1ccc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[2],1,600,0.16,0.399,H2O,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,0
CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,c1csc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2cccs2)c1,F[P-](F)(F)(F)(F)F,[3],1,615,0.059,1.91,H2O,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,0
CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,CC(C)CCn1c(-c2[c-]cccc2)nc2ccccc21,c1ccc(-c2nc3c4cccnc4c4ncccc4c3nc2-c2ccccc2)cc1,F[P-](F)(F)(F)(F)F,[4],1,604,0.25,0.334,H2O,10.1016/j.dyepig.2021.109925,measured in air-saturated solution,0
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,Cc1cc(C)c(/C(=C2\C=CC=N2)c2ccc[n-]2)c(C)c1,,Ir(dipy)-1,0,675,0.0013,,cyclohexane,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,0
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,O=C(CCl)Oc1ccc(/C(=C2\C=CC=N2)c2ccc[n-]2)cc1,,Ir(dipy)-2,0,674,0.001,,cyclohexane,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,0
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,Cc1cc(C)c(/C(=C2\C=CC=N2)c2ccc[n-]2)c(C)c1,,Ir(dipy)-1,0,675,0.0019,,toluene,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,0
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,O=C(CCl)Oc1ccc(/C(=C2\C=CC=N2)c2ccc[n-]2)cc1,,Ir(dipy)-2,0,675,0.0021,,toluene,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,0
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,C[N+](C)(C)CCOc1ccc(/C(=C2\C=CC=N2)c2ccc[n-]2)cc1,[I-],Ir(dipy)-3,1,678,0.0008,,toluene,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,0
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,Cc1cc(C)c(/C(=C2\C=CC=N2)c2ccc[n-]2)c(C)c1,,Ir(dipy)-1,0,675,0.0025,0.475,CHCl3,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,0
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,O=C(CCl)Oc1ccc(/C(=C2\C=CC=N2)c2ccc[n-]2)cc1,,Ir(dipy)-2,0,675,0.0023,0.375,CHCl3,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,0
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,C[N+](C)(C)CCOc1ccc(/C(=C2\C=CC=N2)c2ccc[n-]2)cc1,[I-],Ir(dipy)-3,1,676,0.0025,0.376,CHCl3,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,0
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,Cc1cc(C)c(/C(=C2\C=CC=N2)c2ccc[n-]2)c(C)c1,,Ir(dipy)-1,0,678,0.0015,,acetone,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,0
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,O=C(CCl)Oc1ccc(/C(=C2\C=CC=N2)c2ccc[n-]2)cc1,,Ir(dipy)-2,0,669,0.0011,,acetone,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,0
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,C[N+](C)(C)CCOc1ccc(/C(=C2\C=CC=N2)c2ccc[n-]2)cc1,[I-],Ir(dipy)-3,1,676,0.0018,,acetone,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,0
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,Cc1cc(C)c(/C(=C2\C=CC=N2)c2ccc[n-]2)c(C)c1,,Ir(dipy)-1,0,676,0.0014,0.327,CH3CN,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,0
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,O=C(CCl)Oc1ccc(/C(=C2\C=CC=N2)c2ccc[n-]2)cc1,,Ir(dipy)-2,0,668,0.0015,0.215,CH3CN,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,0
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,C[N+](C)(C)CCOc1ccc(/C(=C2\C=CC=N2)c2ccc[n-]2)cc1,[I-],Ir(dipy)-3,1,673,0.0013,0.286,CH3CN,10.1016/j.dyepig.2021.109886,measured in air-saturated solution,0
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,Cc1cc(C)c(/C(=C2\C=CC=N2)c2ccc[n-]2)c(C)c1,,Ir(dipy)-1,0,675,0.085,22.3,CHCl3,10.1016/j.dyepig.2021.109886,,1
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,O=C(CCl)Oc1ccc(/C(=C2\C=CC=N2)c2ccc[n-]2)cc1,,Ir(dipy)-2,0,675,0.07,10.4,CHCl3,10.1016/j.dyepig.2021.109886,,1
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,C[N+](C)(C)CCOc1ccc(/C(=C2\C=CC=N2)c2ccc[n-]2)cc1,[I-],Ir(dipy)-3,1,676,0.045,15.3,CHCl3,10.1016/j.dyepig.2021.109886,,1
[c-]1c(-c2ccccn2)sc2ccccc12,[c-]1c(-c2ccccn2)sc2ccccc12,CC(=O)/C=C(\[O-])CCC(=O)NCCN(C)C,,BTPDM1,0,612,0.26,5.86,CH3CN,10.1021/acssensors.1c02379,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C1=C/C(=C(/c2ccc[n-]2)c2cccs2)N=C1,,Ir1,0,713,,,toluene,10.1039/D1DT04218A,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C1=C/C(=C(/c2ccc[n-]2)c2cccs2)N=C1,,Ir1,0,717,,,DMSO,10.1039/D1DT04218A,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCCCn1c2ccccc2c2cc(/C(=C3\C=CC=N3)c3ccc[n-]3)ccc21,,Ir2,0,678,,,toluene,10.1039/D1DT04218A,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCCCn1c2ccccc2c2cc(/C(=C3\C=CC=N3)c3ccc[n-]3)ccc21,,Ir2,0,682,,,DMSO,10.1039/D1DT04218A,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCCCn1c2ccccc2c2cc(-c3ccc(/C(=C4\C=CC=N4)c4ccc[n-]4)s3)ccc21,,Ir3,0,714,,,toluene,10.1039/D1DT04218A,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCCCn1c2ccccc2c2cc(-c3ccc(/C(=C4\C=CC=N4)c4ccc[n-]4)s3)ccc21,,Ir3,0,725,,,DMSO,10.1039/D1DT04218A,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C1=C/C(=C(/c2ccc[n-]2)c2ccc(-c3cccc4nsnc34)s2)N=C1,,Ir4,0,722,,,toluene,10.1039/D1DT04218A,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C1=C/C(=C(/c2ccc[n-]2)c2ccc(-c3cccc4nsnc34)s2)N=C1,,Ir4,0,725,,,DMSO,10.1039/D1DT04218A,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Fc1c(F)c(F)c(/C(=C2\C=CC=N2)c2ccc[n-]2)c(F)c1F,,Ir5,0,737,,,toluene,10.1039/D1DT04218A,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Fc1c(F)c(F)c(/C(=C2\C=CC=N2)c2ccc[n-]2)c(F)c1F,,Ir5,0,740,,,DMSO,10.1039/D1DT04218A,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(=O)OCC1OC(Sc2c(F)c(F)c(/C(=C3\C=CC=N3)c3ccc[n-]3)c(F)c2F)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,,Ir7,0,747,,,toluene,10.1039/D1DT04218A,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(=O)OCC1OC(Sc2c(F)c(F)c(/C(=C3\C=CC=N3)c3ccc[n-]3)c(F)c2F)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,,Ir7,0,753,,,DMSO,10.1039/D1DT04218A,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC1=N/C(=C(\c2[n-]c(C)c(I)c2C)c2c(F)c(F)c(F)c(F)c2F)C(C)=C1I,,Ir8,0,827,,,toluene,10.1039/D1DT04218A,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC1=N/C(=C(\c2[n-]c(C)c(I)c2C)c2c(F)c(F)c(F)c(F)c2F)C(C)=C1I,,Ir8,0,823,,,DMSO,10.1039/D1DT04218A,,1
[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,NCCN,[Cl-],1,1,526,0.0006,,CH2Cl2,10.1002/anie.202116078,measured in air-saturated solution,0
[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,[Cl-],2,1,534,0.0006,,CH2Cl2,10.1002/anie.202116078,measured in air-saturated solution,0
[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,[Cl-],3,1,595,0.0004,,CH2Cl2,10.1002/anie.202116078,measured in air-saturated solution,0
[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,NCCN,[Cl-],1,1,532,0.0009,,CH3OH,10.1002/anie.202116078,measured in air-saturated solution,0
[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,[Cl-],2,1,544,0.0004,,CH3OH,10.1002/anie.202116078,measured in air-saturated solution,0
[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,[Cl-],3,1,598,0.0001,,CH3OH,10.1002/anie.202116078,measured in air-saturated solution,0
[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,NCCN,[Cl-],1,1,534,0.0004,,H2O,10.1002/anie.202116078,measured in air-saturated solution,0
[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,[Cl-],2,1,551,0.0006,,H2O,10.1002/anie.202116078,measured in air-saturated solution,0
